START,END,PROG,DURATION,FINISHED,RECORDED,ID,QSCORE,DOB,RESIDENT,ZIPCODE,RACE,ETHNICITY,GENDER,INCOME,EDUCATION,DEGREE,TWS,COURSE,COURSETIME,SELFTITLE,BIOTIME,ACTIVITYfill,ACTIVITYfill,othACTIVITY,AFFILIATEfill,AFFILIATEfill,othAFFILIATE,CONTACT,FIELD,COLLECT,HANDLE,STATE,PPE,PPETIME,COUNTIES,LICENSE,PIGS,BRUCE,CWD,FLUAL,FLU,COVID,COVIDSPILL,RABIESAL,RABIES,TURKEY,CWDAL,BATS,PPEREQ,EHD,DARWIN,POPRED,POPPLAN,SURVEY,VACCINE,PREVAL,DIVERSE,CONSEQ,CLIMATE,EDREQ,INFO,HANDSON,ACCESS,SOURCE,SOURCEfill,othSOURCE,INTEREST,FREEINFO,FREEINFOfill,othFREEINFO,TOPICS,TOPICSfill,othTOPICS,QSNCS
5/15/2024 10:36,5/15/2024 10:37,23,53,FALSE,8/15/2024 10:37,R_7B2wdeXphMLN98k,1,1976,Yes,36804,White,No,Male,"$70,001-80,000",Graduate or Professional School,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 12:39,5/15/2024 12:41,23,65,FALSE,8/15/2024 12:41,R_2VZt59u9crvEYIp,0.899999976,1985,Yes,35951,White,No,Male,"$60,001-70,000",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 12:40,5/15/2024 12:41,23,61,FALSE,8/15/2024 12:41,R_1pKgHP0yigEv5kX,0.899999976,1972,Yes,36571,White,No,Male,"$100,001+",Some College/AA or AS (2-year degree),No,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 12:41,5/15/2024 12:45,43,194,FALSE,8/15/2024 12:45,R_2skHS5KUXauPbeF,0.899999976,1973,Yes,35173,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,Yes,>10 years,No,<1 year,Education,Education,,Private Industry,Private Industry,,Rarely,10,No,No,,,,"Chambers,Tallapoosa,Wilcox",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 14:10,5/15/2024 14:12,23,77,FALSE,8/15/2024 14:12,R_1xJIGziI6qDBc9M,0.800000012,1971,Yes,35581,White,No,Male,"$100,001+",Some College/AA or AS (2-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 16:31,5/15/2024 16:37,23,347,FALSE,8/15/2024 16:37,R_52flqAt24I80rwZ,1,1958,Yes,36879,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 16:52,5/15/2024 17:29,23,2205,FALSE,8/15/2024 17:29,R_6D8yIZwRj4K9sUF,,1974,Yes,36567,White,No,Female,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,Yes,<5 years,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 20:35,5/15/2024 20:39,35,205,FALSE,8/15/2024 20:39,R_2LjsJoEAKt4LTgt,1,1962,Yes,35763,White,No,Male,"$60,001-70,000",High school graduate/GED,No,No,No,,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Daily,10,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 22:40,5/15/2024 22:44,43,219,FALSE,8/15/2024 22:44,R_3qv64WxtgnN9vQ5,0.899999976,1900,Yes,35801,I prefer not to answer,I prefer not to answer,Other,"$0-20,000",Did not graduate high school/no GED,No,No,No,,Yes,<1 year,Other,Land/Wildlife Management,killing deer and any predator that eats them,Other,Other,,Daily,100,Yes,Yes,Dead,No,,Madison,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 7:47,5/16/2024 7:48,28,83,FALSE,8/16/2024 7:48,R_7EjjRyvZXYt5Ez8,0.899999976,1988,Yes,35080,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 10:18,5/16/2024 10:19,28,84,FALSE,8/16/2024 10:19,R_5p3GtYGjrdCAOCW,1,1978,Yes,36401,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Other,Private Industry,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 11:20,5/16/2024 11:21,23,71,FALSE,8/16/2024 11:21,R_3yM2BQ3qpZVsXpT,1,1976,Yes,35120,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 12:07,5/16/2024 12:09,23,122,FALSE,8/16/2024 12:16,R_3KiLxmXwEQCZvRn,1,1963,Yes,36701,White,No,Male,"$100,001+",Graduate or Professional School,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 12:59,5/16/2024 13:03,15,273,FALSE,8/16/2024 13:03,R_7oQiBXmiJi5N9aF,0.899999976,1979,Yes,36703,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 13:10,5/16/2024 13:11,23,62,FALSE,8/16/2024 13:11,R_5WNHbipKiUqxVAE,1,1988,Yes,36695,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 15:44,5/16/2024 15:45,15,46,FALSE,8/16/2024 15:45,R_2yTqDe50ZQIBqIp,0.899999976,1977,Yes,35068,Other,I prefer not to answer,I prefer not to answer,"$0-20,000",Technical/Vocational School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 15:55,5/16/2024 15:57,23,70,FALSE,8/16/2024 15:57,R_1dGFaj4678ALgg3,0.800000012,1983,Yes,35951,White,No,Male,"$100,001+",Some College/AA or AS (2-year degree),No,No,Yes,>10 years,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 21:05,5/16/2024 21:07,28,161,FALSE,8/16/2024 21:07,R_15n4jMJxGcSMNP3,0.800000012,1985,Yes,36117,White,No,Male,"$100,001+",Technical/Vocational School,No,No,Yes,>10 years,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 22:00,5/16/2024 22:02,23,123,FALSE,8/16/2024 22:02,R_8dov9MCgtmE06bH,0.800000012,1969,Yes,35773,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2024 3:15,5/17/2024 3:16,23,55,FALSE,8/17/2024 3:16,R_5Pnf4iy28KUeQ7j,0.800000012,1986,Yes,35216,White,No,Male,"$80,001-90,000",College Graduate/BA or BS (4-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2024 9:10,5/21/2024 9:12,43,140,FALSE,8/21/2024 9:13,R_5ETfbFRDxRpxHpw,0.699999988,1990,Yes,36606,White,No,Male,"$60,001-70,000",Graduate or Professional School,Yes,No,No,,Yes,5-10 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Rarely,20,No,No,,Yes,Usually (>75%),"Baldwin,Mobile",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2024 16:09,5/21/2024 16:12,43,167,FALSE,8/21/2024 16:12,R_7IFq4LUEuQVXxe3,0.699999988,1992,Yes,36572,White,No,Male,"$50,001-60,000",College Graduate/BA or BS (4-year degree),Yes,No,Yes,5-10 years,Yes,5-10 years,Land/Wildlife Management,Land/Wildlife Management,,Nonprofit/Conservation Organization,Nonprofit/Conservation Organization,,Monthly,60,No,No,,Yes,Sometimes (25%-75%),"Autauga,Baldwin,Clarke,Escambia,Mobile,Monroe,Washington",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2024 10:28,5/28/2024 18:19,23,28274,FALSE,8/28/2024 18:19,R_7I5fyyuq6ZLWx06,0.800000012,2005,Yes,36832,White,No,Female,"$80,001-90,000",Some College/AA or AS (2-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2024 16:28,5/29/2024 16:29,23,67,FALSE,8/29/2024 16:29,R_30xh7a7A2TJLwip,1,1980,Yes,36575,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2024 16:55,5/29/2024 16:56,23,69,FALSE,8/29/2024 16:56,R_5LByG7nraipbfg2,1,1972,Yes,35405,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2024 17:12,5/29/2024 17:13,23,71,FALSE,8/29/2024 17:13,R_5RwZjyjrjXsbuMx,1,1970,Yes,35903,White,No,Male,"$100,001+",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2024 18:19,5/29/2024 18:22,23,171,FALSE,8/29/2024 18:22,R_1DLHmSSultosXhT,1,1987,Yes,35749,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,Yes,>10 years,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2024 19:27,5/29/2024 19:28,23,79,FALSE,8/29/2024 19:28,R_6eLien9x5uG4reN,0.899999976,1962,Yes,36117,White,No,Male,"$100,001+",Graduate or Professional School,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2024 19:29,5/29/2024 19:29,23,48,FALSE,8/29/2024 19:30,R_3pWWDM39juXvzuU,0.800000012,1962,Yes,36117,White,No,Male,"$100,001+",Graduate or Professional School,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 9:25,5/30/2024 9:27,28,134,FALSE,8/30/2024 9:27,R_63XGiP1tzOv0EVz,0.699999988,1978,Yes,35504,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,Yes,>10 years,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 9:54,5/30/2024 9:55,20,53,FALSE,8/30/2024 9:55,R_7G2QFa7rwFMXBNk,1,2005,Yes,36832,White,No,Male,"$100,001+",High school graduate/GED,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 9:57,5/30/2024 9:58,28,94,FALSE,8/30/2024 9:58,R_3E5oAuuXo8vWzCh,0.899999976,2004,Yes,36375,White,No,Male,"$100,001+",High school graduate/GED,No,No,No,,No,<1 year,Research,Research,,Academic/Research Institution,Academic/Research Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 10:03,5/30/2024 10:04,23,100,FALSE,8/30/2024 10:04,R_67QLQCEMgSYEw1B,0.899999976,2002,Yes,35006,Black or African American,No,Female,"$40,001-50,000",Some College/AA or AS (2-year degree),No,No,Yes,<5 years,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 11:22,5/30/2024 10:14,28,1291896,FALSE,8/30/2024 10:14,R_7O8oLzXVaKtRx8O,1,1979,Yes,36830,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,Yes,>10 years,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 10:28,5/30/2024 10:29,23,68,FALSE,8/30/2024 10:29,R_55YJsJ3SO5UtZMH,1,1987,Yes,36532,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 10:38,5/30/2024 10:39,23,53,FALSE,8/30/2024 10:39,R_3NQiTx4LoMjOaJX,0.699999988,2005,Yes,35758,White,No,Female,"$100,001+",High school graduate/GED,No,No,Yes,<5 years,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 13:58,5/30/2024 11:21,38,1286624,FALSE,8/30/2024 11:22,R_1ltTGhEUHNj1w2V,1,1966,Yes,35801,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,Yes,>10 years,No,<1 year,Education,Education,,Private Industry,Private Industry,,Weekly,70,Yes,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 11:36,5/30/2024 11:37,23,77,FALSE,8/30/2024 11:37,R_6OkeZTAEJEz444F,0.899999976,2005,Yes,36832,White,No,Female,"$70,001-80,000",Some College/AA or AS (2-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 11:47,5/30/2024 11:48,23,56,FALSE,8/30/2024 11:48,R_7ql2646FKDrSYOb,0.800000012,1999,Yes,36801,White,No,Male,"$0-20,000",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 13:55,5/30/2024 13:55,23,55,FALSE,8/30/2024 13:56,R_60qNv3kgAuwWlEu,0.899999976,2005,Yes,36584,White,No,Female,"$90,001-100,000",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 16:31,5/30/2024 16:37,28,387,FALSE,8/30/2024 16:37,R_54iUhFsvYZdapk7,1,1947,Yes,36401,White,No,Male,"$70,001-80,000",Some College/AA or AS (2-year degree),No,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 17:40,5/30/2024 17:41,23,61,FALSE,8/30/2024 17:41,R_1CVvhxPEK0DmRNb,1,2005,Yes,36870,White,No,Female,"$60,001-70,000",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2024 22:38,5/30/2024 22:42,28,209,FALSE,8/30/2024 22:42,R_3eM2wiAyepiak55,1,1967,Yes,35035,White,No,Male,"$100,001+",Graduate or Professional School,No,No,No,,No,<1 year,Other,Other,,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2024 13:05,5/31/2024 13:06,23,67,FALSE,8/31/2024 13:06,R_3IPDFfMp0CorBqW,0.899999976,2005,Yes,35124,White,No,Female,"$90,001-100,000",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2024 19:50,5/31/2024 19:52,23,120,FALSE,8/31/2024 19:52,R_6MekTtBAY88kGFb,0.800000012,1960,Yes,35748,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2024 16:01,6/2/2024 16:02,23,38,FALSE,9/2/2024 16:02,R_1gNP0igQMHaG7jl,1,2005,Yes,35758,White,No,Female,"$100,001+",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2024 16:00,6/2/2024 16:03,38,143,FALSE,9/2/2024 16:03,R_5dsC4UID4iZcMf4,0.899999976,2004,Yes,36801,White,Yes,Male,"$100,001+",High school graduate/GED,No,No,No,,No,1-5 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Never,0,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2024 16:05,6/2/2024 16:07,28,108,FALSE,9/2/2024 16:07,R_51mUWsGiqih3Cnv,0.899999976,1999,Yes,35019,White,No,Male,"$0-20,000",Some College/AA or AS (2-year degree),No,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Academic/Research Institution,Academic/Research Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2024 16:27,6/2/2024 16:28,23,99,FALSE,9/2/2024 16:28,R_5pgppfhU8ejlJfO,0.899999976,2002,Yes,36173,White,No,Male,"$100,001+",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2024 16:35,6/2/2024 16:36,23,66,FALSE,9/2/2024 16:36,R_6EWLhlADQxmJtTp,0.800000012,2004,Yes,36117,White,No,I prefer not to answer,"$100,001+",High school graduate/GED,No,No,Yes,<5 years,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2024 18:07,6/2/2024 18:09,38,134,FALSE,9/2/2024 18:09,R_7TZSdvqaSJgu24d,1,2004,Yes,35173,White,No,Other,"$80,001-90,000",Some College/AA or AS (2-year degree),No,No,No,,Yes,<1 year,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Daily,40,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2024 19:32,6/2/2024 19:33,23,49,FALSE,9/2/2024 19:33,R_5f5tSH6XhjYbwGd,0.899999976,2002,Yes,36830,White,No,Female,"$0-20,000",Some College/AA or AS (2-year degree),Yes,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2024 20:10,6/2/2024 20:12,23,112,FALSE,9/2/2024 20:12,R_3mqGuVLtQMcDMYW,1,1997,Yes,36830,White,No,Other,"$0-20,000",Some College/AA or AS (2-year degree),No,No,Yes,<5 years,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2024 6:24,6/3/2024 6:25,15,49,FALSE,9/3/2024 6:25,R_5YR5Cs7A18PCHPa,0.899999976,2005,Yes,36830,White,No,Male,"$90,001-100,000",High school graduate/GED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2024 14:35,6/3/2024 14:35,23,50,FALSE,9/3/2024 14:35,R_769bSuKn8OauAN3,0.800000012,2005,Yes,36832,White,No,Female,"$50,001-60,000",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2024 17:01,6/3/2024 17:03,28,168,FALSE,9/3/2024 17:03,R_5jNrwJzcICci8wN,1,2002,Yes,35173,White,No,Male,"$90,001-100,000",Some College/AA or AS (2-year degree),No,No,No,,No,<1 year,Other,Other,None,Other,Academic/Research Institution,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2024 17:24,6/3/2024 17:28,43,254,FALSE,9/3/2024 17:41,R_7peQrBfXfCAcfsu,0.899999976,2001,Yes,36832,White,Yes,Female,"$50,001-60,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Academic/Research Institution,Academic/Research Institution,,Monthly,50,No,Yes,Alive - Not Sedated,Yes,Sometimes (25%-75%),Lee,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2024 21:11,6/3/2024 21:13,23,132,FALSE,9/3/2024 21:14,R_74Iz38PZwldJo3E,0.899999976,1988,Yes,36064,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2024 13:18,6/20/2024 13:19,23,74,FALSE,9/20/2024 13:20,R_5KdqVY6wYSWwQLp,1,2003,Yes,36830,White,No,Female,"$0-20,000",High school graduate/GED,No,No,Yes,<5 years,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
